               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10994,            0.024254,            0.049385,            0.003209,             0.56364,           0.0037125,           0.0011951,             0.11273,            0.011861,            0.048416,              0.0973,              0.0003,              0.0003
                   1,             0.10712,            0.024306,            0.049268,           0.0026493,             0.57576,           0.0037728,           0.0011579,             0.10941,            0.012239,            0.048264,            0.093693,          0.00069307,          0.00069307
                   2,             0.10431,            0.027234,            0.049304,           0.0025757,             0.59242,           0.0024671,          0.00095981,             0.10497,            0.012684,            0.048111,            0.090078,           0.0010782,           0.0010782
                   3,             0.10191,            0.027783,            0.049596,          0.00093537,             0.19091,           0.0011697,          0.00032415,             0.10042,            0.013075,            0.047974,            0.086455,           0.0014555,           0.0014555
                   4,            0.096778,            0.030823,            0.048914,           0.0011054,             0.20909,           0.0013692,          0.00035926,            0.095699,            0.013372,            0.047791,            0.082825,           0.0018248,           0.0018248
                   5,            0.091513,            0.028618,            0.049072,           0.0011404,             0.20909,           0.0017268,          0.00048612,            0.090818,            0.013479,              0.0476,            0.079186,           0.0021861,           0.0021861
                   6,             0.09207,            0.027962,            0.048685,           0.0012026,             0.20909,           0.0027866,          0.00098791,            0.086814,            0.013655,            0.047478,             0.07554,           0.0025396,           0.0025396
                   7,            0.090556,             0.02773,            0.048541,           0.0013383,             0.27576,           0.0017149,          0.00047763,            0.083555,            0.013804,            0.047356,            0.071885,           0.0028852,           0.0028852
                   8,            0.085191,            0.029444,            0.048335,            0.001206,             0.20909,           0.0014904,          0.00051047,            0.080425,            0.013951,            0.047211,            0.068223,           0.0032228,           0.0032228
                   9,            0.088802,              0.0306,            0.048065,           0.0014991,             0.27576,           0.0019319,          0.00056843,            0.078485,            0.014095,             0.04705,            0.064553,           0.0035525,           0.0035525
